"AC (Accession Number)","DE (Protein Name)"
"P81694","Omega-ctenitoxin-Cs1a"
"P0DL72","Toxin GTx1-15"
"P0CE80","Dermonecrotic toxin LiSicTox-alphaIA1a"
"P0CE79","Dermonecrotic toxin LrSicTox-alphaIA1ii"
"P49126","Beta-diguetoxin-Dc1a"
"Q1W695","Dermonecrotic toxin LiSicTox-alphaII1"
"Q1W694","Dermonecrotic toxin LiSicTox-betaID1"
"A0A0D4WV12","Dermonecrotic toxin StSicTox-betaIB1i"
"Q4ZFU2","Dermonecrotic toxin LarSicTox-alphaIB2bi"
"Q8I914","Dermonecrotic toxin LlSicTox-alphaIII1i"
"P0CE82","Dermonecrotic toxin LiSicTox-alphaIA1bii"
"E5D3Z8","Dermonecrotic toxin"
"C0HKG8","DELTA-miturgitoxin-Cp1b"
"C0HKG9","DELTA-miturgitoxin-Cp1c"
"C0HKG7","DELTA-miturgitoxin-Cp1a"
"K9USW8","Dermonecrotic toxin LgSicTox-alphaIC1"
"A0A0D4WTV1","Dermonecrotic toxin LarSicTox-betaID1"
"Q2XQ09","Dermonecrotic toxin LiSicTox-betaIA1i"
"P0CE83","Dermonecrotic toxin LiSicTox-alphaIA2ai"
"P69502","Dermonecrotic toxin LgSicTox-alphaI-Loxn-A"
"P0CE84","Dermonecrotic toxin LiSicTox-alphaIA2aii"
"P0CE81","Dermonecrotic toxin LiSicTox-alphaIA1bi"
"A4USB4","Dermonecrotic toxin LiSicTox-alphaV1"
"P17727","Mu-ctenitoxin-Pn1a"
"P61095","Mu-segestritoxin-Sf1a"
"Q5YD77","Dermonecrotic toxin LbSicTox-alphaIB1a"
"Q5Y4V5","U3-agatoxin-Ao1d"
"Q5Y4V0","U3-agatoxin-Ao1i"
"Q5Y4W8","U2-agatoxin-Ao1r"
"A9XDG3","Omega-lycotoxin-Gsp2671g"
"P0C2L4","Omega-hexatoxin-Hf1a"
"P15971","Omega-agatoxin-Aa2a"
"Q9BJW0","Omega-hexatoxin-Hi2b"
"P31328","U2-agatoxin-Aop1a"
"P56676","Mu/omega-theraphotoxin-Hs1a"
"A0A0A0V633","U5-scytotoxin-Sth1a"
"B6DD23","U13-lycotoxin-Ls1d"
"B3EWT9","Cupiennin-2d"
"B3EWW3","Cupiennin-7a"
"P37045","Omega-agatoxin-Aa4b"
"P83919","U2-ctenitoxin-Cs1a"
"B6DCJ1","U1-lycotoxin-Ls1b"
"B6DCX2","U8-lycotoxin-Ls1a"
"B6DD47","U15-lycotoxin-Ls1e"
"B6DD33","U2-lycotoxin-Ls1e"
"B6DCX7","U8-lycotoxin-Ls1t"
"C0HL38","Insect toxin mu-NPTX-Nc1a"
"P85276","U5-ctenitoxin-Co1a"
"P85265","U12-ctenitoxin-Co1a"
"P0DMD8","U2-sicaritoxin-Li1b"
"W4VSB0","Toxin ICK-24"
"P85506","Mu-thomitoxin-Hme1b"
"Q6B4T3","U2-sicaritoxin-Li1a"
"B6DCQ4","U3-lycotoxin-Ls1a"
